crop,rows,median_usd,median_real_usd,median_fcfa
arachide,80,0.6233,0.34264317366193064,374.0
cacao,80,1.63135,0.8829259709375703,978.8
café,80,1.2742999999999998,0.6856609186187839,764.6
coton,80,0.49495,0.25616144241273353,297.0
igname,80,0.3871,0.2119318866167454,232.25
manioc,80,0.2437,0.1348215678118448,146.2
maïs,80,0.42594999999999994,0.23265634034587376,255.55
mil,80,0.4418,0.23749712086960573,265.1
noix_de_cajou,80,0.7276,0.37952727426546173,436.55
palme,80,0.16215000000000002,0.09254967262083297,97.3
riz_paddy,80,0.5787500000000001,0.30169964187492637,347.25
soja,80,0.45339999999999997,0.24763012277076202,272.05
sorgho,80,0.40025,0.21423735151797535,240.14999999999998
