Year,indicator,indicator_name,value
1961,AG.PRD.CREL.MT,Cereal production (metric tons),173900.0
1962,AG.PRD.CREL.MT,Cereal production (metric tons),185530.0
1963,AG.PRD.CREL.MT,Cereal production (metric tons),219642.0
1964,AG.PRD.CREL.MT,Cereal production (metric tons),227500.0
1965,AG.PRD.CREL.MT,Cereal production (metric tons),237487.0
1966,AG.PRD.CREL.MT,Cereal production (metric tons),302968.0
1967,AG.PRD.CREL.MT,Cereal production (metric tons),247238.0
1968,AG.PRD.CREL.MT,Cereal production (metric tons),245000.0
1969,AG.PRD.CREL.MT,Cereal production (metric tons),234000.0
1970,AG.PRD.CREL.MT,Cereal production (metric tons),322580.0
1971,AG.PRD.CREL.MT,Cereal production (metric tons),347790.0
1972,AG.PRD.CREL.MT,Cereal production (metric tons),283040.0
1973,AG.PRD.CREL.MT,Cereal production (metric tons),279204.0
1974,AG.PRD.CREL.MT,Cereal production (metric tons),245207.0
1975,AG.PRD.CREL.MT,Cereal production (metric tons),265210.0
1976,AG.PRD.CREL.MT,Cereal production (metric tons),233970.0
1977,AG.PRD.CREL.MT,Cereal production (metric tons),258250.0
1978,AG.PRD.CREL.MT,Cereal production (metric tons),270183.0
1979,AG.PRD.CREL.MT,Cereal production (metric tons),315228.0
1980,AG.PRD.CREL.MT,Cereal production (metric tons),295620.0
1981,AG.PRD.CREL.MT,Cereal production (metric tons),290838.0
1982,AG.PRD.CREL.MT,Cereal production (metric tons),308260.0
1983,AG.PRD.CREL.MT,Cereal production (metric tons),291452.0
1984,AG.PRD.CREL.MT,Cereal production (metric tons),439756.0
1985,AG.PRD.CREL.MT,Cereal production (metric tons),370644.0
1986,AG.PRD.CREL.MT,Cereal production (metric tons),366002.0
1987,AG.PRD.CREL.MT,Cereal production (metric tons),368225.0
1988,AG.PRD.CREL.MT,Cereal production (metric tons),503770.0
1989,AG.PRD.CREL.MT,Cereal production (metric tons),565807.0
1990,AG.PRD.CREL.MT,Cereal production (metric tons),483958.0
1991,AG.PRD.CREL.MT,Cereal production (metric tons),464877.0
1992,AG.PRD.CREL.MT,Cereal production (metric tons),494785.0
1993,AG.PRD.CREL.MT,Cereal production (metric tons),633126.0
1994,AG.PRD.CREL.MT,Cereal production (metric tons),572507.0
1995,AG.PRD.CREL.MT,Cereal production (metric tons),591264.0
1996,AG.PRD.CREL.MT,Cereal production (metric tons),686596.0
1997,AG.PRD.CREL.MT,Cereal production (metric tons),748221.0
1998,AG.PRD.CREL.MT,Cereal production (metric tons),624267.0
1999,AG.PRD.CREL.MT,Cereal production (metric tons),759376.0
2000,AG.PRD.CREL.MT,Cereal production (metric tons),740520.0
2001,AG.PRD.CREL.MT,Cereal production (metric tons),814714.0
2002,AG.PRD.CREL.MT,Cereal production (metric tons),801479.0
2003,AG.PRD.CREL.MT,Cereal production (metric tons),807299.0
2004,AG.PRD.CREL.MT,Cereal production (metric tons),799023.0
2005,AG.PRD.CREL.MT,Cereal production (metric tons),833289.0
2006,AG.PRD.CREL.MT,Cereal production (metric tons),885517.0
2007,AG.PRD.CREL.MT,Cereal production (metric tons),877647.0
2008,AG.PRD.CREL.MT,Cereal production (metric tons),935210.0
2009,AG.PRD.CREL.MT,Cereal production (metric tons),1061456.0
2010,AG.PRD.CREL.MT,Cereal production (metric tons),1045866.0
2011,AG.PRD.CREL.MT,Cereal production (metric tons),1057893.0
2012,AG.PRD.CREL.MT,Cereal production (metric tons),1268350.0
2013,AG.PRD.CREL.MT,Cereal production (metric tons),1213807.0
2014,AG.PRD.CREL.MT,Cereal production (metric tons),1310851.0
2015,AG.PRD.CREL.MT,Cereal production (metric tons),1249728.0
2016,AG.PRD.CREL.MT,Cereal production (metric tons),1263762.0
2017,AG.PRD.CREL.MT,Cereal production (metric tons),1301069.0
2018,AG.PRD.CREL.MT,Cereal production (metric tons),1339107.0
2019,AG.PRD.CREL.MT,Cereal production (metric tons),1372361.0
2020,AG.PRD.CREL.MT,Cereal production (metric tons),1355508.0
2021,AG.PRD.CREL.MT,Cereal production (metric tons),1403574.0
2022,AG.PRD.CREL.MT,Cereal production (metric tons),1439850.0
2023,AG.PRD.CREL.MT,Cereal production (metric tons),1514448.12
